时间,事件类型,边界框,置信度,目标类别
2025-04-05 15:01:40.019,检测,"[163.79052734375, 107.11994934082031, 574.6328125, 479.52716064453125]",0.841,person
2025-04-05 15:01:40.041,检测,"[160.88336181640625, 112.13136291503906, 578.12890625, 479.3370361328125]",0.859,person
2025-04-05 15:01:40.063,检测,"[158.05767822265625, 106.91545104980469, 580.5657958984375, 479.28729248046875]",0.872,person
2025-04-05 15:01:40.082,检测,"[158.05767822265625, 106.91545104980469, 580.5657958984375, 479.28729248046875]",0.872,person
2025-04-05 15:01:40.108,检测,"[157.2227783203125, 107.53793334960938, 578.3607177734375, 479.2956848144531]",0.866,person
2025-04-05 15:01:40.130,检测,"[157.2227783203125, 107.53793334960938, 578.3607177734375, 479.2956848144531]",0.866,person
2025-04-05 15:01:40.152,检测,"[160.08522033691406, 112.41157531738281, 575.5443115234375, 479.33990478515625]",0.86,person
2025-04-05 15:01:40.176,检测,"[160.08522033691406, 112.41157531738281, 575.5443115234375, 479.33990478515625]",0.86,person
2025-04-05 15:01:40.215,检测,"[154.66148376464844, 107.48919677734375, 577.2906494140625, 479.44781494140625]",0.869,person
2025-04-05 15:01:40.239,检测,"[154.66148376464844, 107.48919677734375, 577.2906494140625, 479.44781494140625]",0.869,person
2025-04-05 15:01:40.280,检测,"[154.1786651611328, 107.82395935058594, 580.4176635742188, 479.3310546875]",0.864,person
2025-04-05 15:01:40.304,检测,"[154.1786651611328, 107.82395935058594, 580.4176635742188, 479.3310546875]",0.864,person
2025-04-05 15:01:40.342,检测,"[157.0774383544922, 108.05712890625, 578.8897094726562, 479.6888427734375]",0.877,person
2025-04-05 15:01:40.364,检测,"[157.0774383544922, 108.05712890625, 578.8897094726562, 479.6888427734375]",0.877,person
2025-04-05 15:01:40.409,检测,"[156.83343505859375, 111.90739440917969, 573.71875, 479.33624267578125]",0.867,person
2025-04-05 15:01:40.429,检测,"[156.83343505859375, 111.90739440917969, 573.71875, 479.33624267578125]",0.867,person
2025-04-05 15:01:40.492,检测,"[156.2745361328125, 107.9805908203125, 578.1015625, 479.6190185546875]",0.873,person
2025-04-05 15:01:40.516,检测,"[156.2745361328125, 107.9805908203125, 578.1015625, 479.6190185546875]",0.873,person
2025-04-05 15:01:40.553,检测,"[157.62396240234375, 111.25529479980469, 575.147705078125, 479.31268310546875]",0.877,person
2025-04-05 15:01:40.577,检测,"[157.62396240234375, 111.25529479980469, 575.147705078125, 479.31268310546875]",0.877,person
2025-04-05 15:01:40.615,检测,"[154.68328857421875, 109.67607116699219, 578.9031982421875, 479.64019775390625]",0.877,person
2025-04-05 15:01:40.637,检测,"[154.68328857421875, 109.67607116699219, 578.9031982421875, 479.64019775390625]",0.877,person
2025-04-05 15:01:40.679,检测,"[154.82215881347656, 108.163818359375, 576.9207763671875, 479.65087890625]",0.881,person
2025-04-05 15:01:40.707,检测,"[154.82215881347656, 108.163818359375, 576.9207763671875, 479.65087890625]",0.881,person
2025-04-05 15:01:40.751,检测,"[155.6820068359375, 113.5911865234375, 572.709228515625, 479.323486328125]",0.875,person
2025-04-05 15:01:40.774,检测,"[155.6820068359375, 113.5911865234375, 572.709228515625, 479.323486328125]",0.875,person
2025-04-05 15:01:40.809,检测,"[156.9759521484375, 109.6531982421875, 573.2410888671875, 479.3402099609375]",0.886,person
